time,action,metric0,metric2,metric1,metric3,metric4,metric5,metric6,metric7,metric8,metric9,metric10,metric11,metric12,metric13,metric14,metric15,metric16,metric17,metric18,metric19,metric20,metric21,metric22,metric23,metric24,metric25,metric26,metric27,metric28,metric29,metric30,metric31,metric32,metric33,metric34,metric35,metric36,metric37,metric38,metric39,metric40,metric41,metric42,metric43,metric44,metric45
1641819887153,-1,0.25704862520278887,0.09446560515388373,6.0,0.6280352505502358,60215.62,3.501546666666667,100383.62267333333,48567.74594594595,3.2858123106567563,81648.29088786688,35260.092156862745,2.3829855779509805,59292.77441292856,24.541666666666668,669864.5333333333,669874.7999999999,13557.5,354.0,1.1978536093333334E8,1.68820736E9,1.1106833312426666E11,1.2043666792E9,420.2416666666666,0.003566666666666667,4.303141666666666,8.07108608E7,2.8416102375E8,5.290757875E7,56.0,59.0,59.0,9.830555555555556,1339.8333333333333,-0.3246547538676201,16384.0,463.0,1.6418116528806667E9,8090.799616666667,0.626412421905,36.9,36.9,0.0,20.0,-0.32350465903468195,2.592333333333334,0.3
1641820190038,-1,0.5199635005557259,0.09446560515388373,5.0,0.6486288101241013,68316.7,3.556972,114079.996156,51473.378787878784,3.1030523739060607,86662.24293579403,36167.153191489364,2.175824081638298,60908.300559234085,24.509999999999998,645952.0,646017.42,13541.0,249.4,1.2968962288E8,1.68820736E9,1.2631318462463998E11,1.332198256E9,455.66,0.01597,4.66784,8.429723647999999E7,2.8416102375E8,5.424031742E7,54.4,57.4,57.4,9.566666666666666,1606.72,-0.17855901411536632,16384.0,656.12,1.6418104891564E9,9554.28288,1.111698550675,31.75,31.75,0.0,19.2,-0.1761918113768492,2.928,0.25
1641820492635,-1,0.6483486266089561,0.09446560515388373,4.0,0.6352107850761023,79774.95999999999,9.870465,136305.864385,52648.14,10.972465124506668,90760.69098966384,35124.811111111114,9.561749728646666,60579.1969475864,68.5625,751274.8,751683.9,13516.3,186.5,1.902715688E8,1.68820736E9,1.50634627072E11,1.770627207E9,548.4375,0.025175000000000003,5.5283125,7.81728768E7,2.8416102375E8,5.6495277E7,56.0,59.0,59.0,9.829166666666667,2927.1,-0.22595956449304444,16384.0,1439.25,1.64180874469025E9,11600.841425,1.27786170109,26.839999999999996,26.839999999999996,0.045,20.0,-0.22147806643416007,4.8759999999999994,0.2
1641820795495,2,1.108801577279109,0.09446560515388373,3.0,0.84177583105264,84254.95999999999,9.4185,147216.97624666666,57193.49090909091,10.988718360518181,100250.6868031516,37034.791176470586,10.173948636785294,64963.83585902996,76.86666666666666,791668.0,791676.0333333333,13519.4,200.33333333333334,2.4083202133333334E8,1.68820736E9,1.7106094871893332E11,2.2022979714666667E9,597.5,0.030333333333333334,5.78995,1.344495616E8,2.8416102375E8,7.97548795E7,58.666666666666664,61.666666666666664,61.666666666666664,10.277777777777779,7701.8133333333335,-0.30747281570984747,16384.0,1966.0666666666668,1.6418086543666668E9,11989.598,1.7270780060177777,20.145,20.145,0.03,21.333333333333332,-0.3019476472535778,5.636666666666667,0.15
1641821098334,1,0.8923625818054589,0.09257552973864192,5.0,0.7241762112709272,55835.907999999996,7.787274,100386.04125400001,42967.18203125,11.866210992964843,78217.94838617461,30575.62111111111,9.806801591576825,55711.275551215134,52.7625,744707.12,744656.0599999999,13567.295000000002,213.0,1.587393218E8,1.68820736E9,1.1341810106368001E11,1.6363800618E9,399.38,0.028249999999999997,4.072609999999999,1.0965516288E8,2.8416102375E8,6.4996335660000004E7,57.2,60.2,60.2,10.029166666666667,4677.532999999999,-0.17189758184878257,16384.0,1271.22,1.6418135122174E9,7445.348974999999,1.0857208697727778,29.060000000000002,29.060000000000002,0.09,20.8,-0.16779357621295382,7.500400000000001,0.22999999999999998
1641821401257,2,0.9724819738794037,0.09446560515388373,6.0,0.7454109057908371,55621.39333333333,4.519485925925926,98758.8304225926,46990.77365079365,3.1187240686822224,84536.16501531961,34284.993055555555,2.272411440789418,61733.89940937723,23.642592592592592,622494.0027777777,622532.0777777778,13561.803703703705,201.83333333333334,1.4034732287407407E8,1.68820736E9,1.1059367577979259E11,1.5675440858518517E9,375.69074074074075,0.07780833333333333,4.134881481481481,1.1472601315555555E8,2.8416102375E8,6.0675997870370366E7,51.833333333333336,54.833333333333336,54.833333333333336,9.13888888888889,3910.3333333333335,-0.11683202965337836,16384.0,993.5759259259258,1.641814777107E9,6474.3386666666665,0.8475975701099999,35.635000000000005,35.635000000000005,0.015,18.666666666666668,-0.1126183024427538,5.643796296296297,0.29500000000000004
1641821703985,1,0.8808717832136324,0.09328411719131656,8.0,0.6782613850012604,49937.62694444445,3.5913827777777776,87260.19477249999,48135.12086720867,1.7547351502490516,85054.41492584166,36566.875308641975,1.3191842898753086,64668.114832261745,22.768055555555556,615499.2180555556,615340.5444444445,13553.6375,296.125,1.1959654061111112E8,1.68820736E9,9.724489454933333E10,1.2659225613666666E9,314.1576388888889,0.02855486111111111,3.6024326388888888,1.006972928E8,2.8416102375E8,5.578983948194445E7,47.25,50.25,50.25,8.375,2932.75,-0.08344697105274886,16384.0,823.7555555555556,1.64181643464825E9,5124.118363888889,0.23245182517,44.85,44.85,0.03,18.5,-0.07982814729237538,5.71425,0.39
1641822007204,0,0.717544378775054,0.09341598731884057,9.0,0.6698506641444881,51066.31555555556,3.5360427160493826,88253.7992039506,51675.954545454544,4.980987781914394,90243.87626785297,39910.42456140351,3.8377960859619886,69753.3202134269,23.827160493827158,636092.7598765432,636095.5098765432,13644.293827160494,329.1604938271605,1.1264903109135802E8,1.6673652938271606E9,9.806682375964445E10,1.155549583091358E9,303.579012345679,0.01414074074074074,3.499448148148148,9.56135752691358E7,2.8416102375E8,5.65554881E7,53.93827160493827,56.93827160493827,56.93827160493827,9.49156378600823,2606.911111111111,-0.19108521111359422,16384.0,732.2493827160494,1.641817020581E9,4835.370369135802,0.02864839851,50.2,50.2,0.015,19.11111111111111,-0.1881405094842121,4.498185185185185,0.445
1641822309738,0,0.5731901869334074,0.09446560515388373,9.0,0.6807968697420829,57246.206666666665,3.5468688888888886,98163.68120222221,57989.44090909091,4.8623039779749995,100444.5463962813,44785.55438596491,3.7365653399701757,77633.34906336704,23.733333333333334,635909.0333333334,635880.2166666667,13565.677777777779,411.44444444444446,1.1599999173333333E8,1.68820736E9,1.0882975734897778E11,1.1794509496E9,327.04999999999995,0.014155555555555557,3.777638888888889,9.658622862222223E7,2.8416102375E8,5.672046093333333E7,54.21111111111111,57.21111111111111,57.21111111111111,9.535185185185185,2606.911111111111,-0.19375040066356014,16384.0,685.6888888888889,1.641817020581E9,5133.702966666667,0.013022331114999999,50.7,50.7,0.0,19.11111111111111,-0.19095093727375753,4.376222222222222,0.45
1641822612392,-1,0.4495861785463222,0.09446560515388373,9.0,0.6827011639977527,62526.15111111111,3.5220244444444444,106633.77836444444,63383.031818181815,4.664515865836363,109158.54460593351,48950.63157894737,3.59786952614386,84365.03010384754,23.816666666666666,636018.6666666666,635886.2555555556,13566.666666666666,411.44444444444446,1.1630110968888889E8,1.68820736E9,1.1801203252337778E11,1.187961488977778E9,344.02777777777777,0.007011111111111111,3.955711111111111,9.701476124444444E7,2.8416102375E8,5.7763260688888885E7,54.22222222222222,57.22222222222222,57.22222222222222,9.537037037037036,2606.9333333333334,-0.19930611535305498,16384.0,602.3888888888889,1.641817020581E9,5440.3693,0.012747235030000002,50.7,50.7,0.0,19.11111111111111,-0.19693355331361254,3.7568888888888887,0.45
